level	taxid	name	read_count	total_bp_mapped	rel_abundance
genus	1742989	Glutamicibacter	51	23032	0.001790
genus	33057	Thauera	50	17842	0.000526
genus	392332	Geoalkalibacter	50	25308	0.000185
genus	162027	Haliangium	50	16307	0.000066
genus	69578	Cryobacterium	45	13349	0.000364
genus	88	Leptothrix	45	10525	0.000129
genus	745364	Luteipulveratus	45	14300	0.000096
genus	2767842	Lactiplantibacillus	44	10123	0.000152
genus	2893036	Venatoribacter	43	20780	0.000230
genus	75309	Rhodanobacter	41	9779	0.000157
genus	1865	Actinoplanes	40	9288	0.000063
genus	1525371	Neorhizobium	39	17784	0.000114
genus	2842531	Solibaculum	38	29192	0.000311
genus	2862745	Pseudobdellovibrio	37	26646	0.000246
genus	165696	Novosphingobium	37	15729	0.000189
genus	263377	Salipiger	36	9067	0.000087
genus	39948	Dialister	35	25539	0.000772
genus	285107	Thioclava	35	16510	0.000225
genus	337004	Microcella	35	9696	0.000169
genus	117156	Actinopolymorpha	35	11446	0.000072
genus	2767327	Fannyhessea	33	20635	0.000351
genus	1227948	Sphingomicrobium	33	9663	0.000143
genus	6	Azorhizobium	33	10958	0.000088
genus	929812	Gibbsiella	33	9894	0.000076
genus	32	Myxococcus	33	8392	0.000049
genus	42	Cystobacter	32	10921	0.000037
genus	838	Prevotella	31	20418	0.000212
genus	1578	Lactobacillus	30	6860	0.000622
genus	2709666	Pseudolysobacter	30	31785	0.000187
genus	85073	Thermochromatium	30	13962	0.000147
genus	1632780	Phreatobacter	30	7139	0.000084
genus	133	Methylocystis	29	21055	0.000141
genus	1350	Enterococcus	29	2762	0.000128
genus	135575	Idiomarina	28	15685	0.000165
genus	302485	Phaeobacter	28	4048	0.000122
genus	2772198	Sulfurimicrobium	27	13193	0.000113
genus	1938335	Sulfuritortus	26	7477	0.000128
genus	551759	Aromatoleum	26	5433	0.000087
genus	204037	Dickeya	25	5902	0.000232
genus	2692382	Gudongella	25	17897	0.000192
genus	2815775	Berryella	25	7973	0.000147
