TaxID	Name	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
507626	Halomonas chromatireducens	4147	0.131035	0.13129	cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
1904944	Stenotrophomonas sp. LM091	4144	0.13094	0.131195	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas
2714353	Vescimonas fastidiosa	3925	0.12402	0.124261	cellular organisms;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Vescimonas
1622	Ligilactobacillus murinus	3864	0.122093	0.12233	cellular organisms;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus
2774190	Brevundimonas goettingensis	3850	0.12165	0.121887	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
2487074	Kaistella daneshvariae	3848	0.121587	0.121824	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Kaistella
190148	Bradyrhizobium paxllaeri	3826	0.120892	0.121127	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium
2283318	Aquirhabdus parva	3700	0.116911	0.117138	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Aquirhabdus
2899123	Sphingomonas cannabina	3451	0.109043	0.109255	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
1296669	Aquabacterium olei	3273	0.103418	0.10362	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;;Aquabacterium
186931	Thioalkalivibrio nitratireducens	3142	0.0992792	0.0994724	cellular organisms;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
2202825	Methylobacterium durans	3125	0.098742	0.0989342	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium
571913	Luteipulveratus mongoliensis	3038	0.095993	0.0961799	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Dermacoccaceae;Luteipulveratus
75385	Micropruina glycogenica	2958	0.0934652	0.0936472	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Micropruina
2339259	Yersinia hibernica	2954	0.0933388	0.0935206	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia
161493	Anaeromyxobacter dehalogenans	2933	0.0926753	0.0928557	cellular organisms;Myxococcota;Myxococcia;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter
1297742	Pseudomyxococcus hansupus	2929	0.0925489	0.0927291	cellular organisms;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Pseudomyxococcus
42906	Serratia entomophila	2780	0.0878409	0.0880119	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia
96232	Legionella lytica	2698	0.0852499	0.0854159	cellular organisms;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella
164759	Diaphorobacter nitroreducens	2566	0.081079	0.0812369	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter
