Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Legionella lytica	1	96232	96232	2698	0.085250	0.085416	cellular organisms;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella
Diaphorobacter nitroreducens	1	164759	164759	2566	0.081079	0.081237	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter
Actinoplanes missouriensis	1	1866	1866	2491	0.078709	0.078863	cellular organisms;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Actinoplanes
Paralysiella testudinis	1	2809020	2809020	2469	0.078014	0.078166	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Paralysiella
Pseudomonas vanderleydeniana	1	2745495	2745495	2423	0.076561	0.076710	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Diaphorobacter aerolatus	1	1288495	1288495	2414	0.076276	0.076425	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter
Brochothrix thermosphacta	1	2756	2756	2339	0.073906	0.074050	cellular organisms;Bacillota;Bacilli;Bacillales;Listeriaceae;Brochothrix
Paracoccus mutanolyticus	1	1499308	1499308	2319	0.073275	0.073417	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Burkholderia plantarii	1	41899	41899	2286	0.072232	0.072372	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
Desulfovibrio fairfieldensis	1	44742	44742	2266	0.071600	0.071739	cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
Deinococcus gobiensis	1	502394	502394	2262	0.071473	0.071613	cellular organisms;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus
Roseinatronobacter bogoriensis	1	119542	119542	2250	0.071094	0.071233	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Roseinatronobacter
Azospirillum thermophilum	1	2202148	2202148	2242	0.070842	0.070979	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum
Nocardioides pantholopis	1	2483798	2483798	2237	0.070683	0.070821	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
